aX,aY,aZ,gX,gY,gZ
0.623,-0.435,1.323,-9.521,101.807,55.603
0.584,-0.444,1.312,-1.038,90.881,48.523
0.542,-0.455,1.311,5.798,81.482,43.945
0.497,-0.476,1.312,6.409,73.730,42.419
0.458,-0.485,1.299,4.333,67.810,42.480
0.429,-0.477,1.252,1.343,63.293,42.236
0.400,-0.459,1.206,1.953,59.326,41.321
0.372,-0.450,1.185,6.409,55.725,39.368
0.338,-0.415,1.158,11.963,51.147,36.011
0.296,-0.379,1.120,17.700,46.082,32.288
0.255,-0.331,1.095,23.437,40.833,29.480
0.228,-0.289,1.079,31.738,34.912,28.259
0.212,-0.260,1.062,42.053,28.076,28.259
0.202,-0.236,1.035,51.758,20.447,29.541
0.180,-0.212,1.001,59.998,12.085,32.532
0.158,-0.193,0.971,63.843,4.028,37.231
0.143,-0.182,0.940,62.805,-3.906,43.274
0.140,-0.178,0.908,59.875,-11.047,50.415
0.138,-0.177,0.886,56.152,-17.273,57.312
0.129,-0.179,0.880,52.612,-22.766,63.660
0.111,-0.188,0.880,49.500,-27.100,68.176
0.095,-0.188,0.894,46.143,-30.823,70.862
0.074,-0.176,0.920,41.809,-35.034,71.228
0.050,-0.165,0.950,38.818,-40.100,70.313
0.026,-0.166,0.990,36.560,-46.143,68.298
0.004,-0.186,1.035,33.264,-54.443,65.552
-0.004,-0.219,1.081,28.564,-64.697,61.768
-0.005,-0.244,1.128,22.339,-75.806,56.152
0.009,-0.274,1.169,17.761,-87.463,49.744
0.034,-0.316,1.205,15.381,-99.304,41.748
0.070,-0.351,1.246,12.573,-110.962,32.227
0.094,-0.385,1.281,10.071,-122.803,21.912
0.138,-0.411,1.303,7.812,-134.521,10.742
0.189,-0.415,1.333,6.287,-146.179,0.183
0.231,-0.424,1.346,7.324,-157.104,-8.667
0.274,-0.414,1.348,8.972,-167.480,-16.724
0.308,-0.378,1.324,10.620,-175.903,-22.827
0.339,-0.326,1.281,14.221,-180.969,-25.879
0.371,-0.265,1.234,18.494,-182.129,-25.330
0.400,-0.203,1.190,22.156,-179.993,-22.156
0.424,-0.142,1.156,25.513,-175.110,-16.663
0.456,-0.080,1.134,28.870,-169.312,-10.193
0.486,-0.024,1.102,33.447,-163.879,-3.540
0.509,0.022,1.056,37.903,-159.546,3.418
0.529,0.061,1.012,40.222,-155.457,10.803
0.537,0.085,0.980,40.894,-151.978,18.250
0.537,0.092,0.957,40.710,-148.621,25.330
0.533,0.079,0.935,40.161,-145.813,31.616
0.519,0.068,0.928,37.964,-143.982,36.072
0.506,0.052,0.927,36.438,-142.700,38.513
0.493,0.036,0.937,37.170,-142.151,38.940
0.476,0.032,0.952,38.452,-142.029,37.292
0.448,0.035,0.929,38.025,-141.357,35.339
0.412,0.037,0.909,38.025,-138.062,33.875
0.384,0.038,0.901,38.147,-132.019,33.447
0.370,0.033,0.910,36.987,-124.451,33.936
0.362,0.035,0.885,34.668,-116.394,34.851
0.348,0.032,0.884,32.471,-108.093,36.133
0.333,0.015,0.882,30.151,-99.487,37.354
0.325,0.003,0.872,27.100,-91.370,38.330
0.319,-0.009,0.863,23.926,-83.374,38.879
0.310,-0.025,0.860,21.423,-75.989,38.330
0.298,-0.039,0.861,19.104,-69.641,37.048
0.281,-0.051,0.864,17.273,-64.453,34.790
0.269,-0.061,0.873,15.808,-60.669,32.227
0.256,-0.072,0.883,14.465,-58.411,29.419
0.243,-0.076,0.895,11.963,-57.556,26.245
0.232,-0.062,0.902,7.507,-58.044,23.621
0.226,-0.060,0.909,3.052,-58.289,21.790
0.214,-0.073,0.914,-0.244,-58.411,20.142
0.200,-0.083,0.912,-4.272,-57.800,18.066
0.194,-0.093,0.909,-7.690,-56.335,15.808
0.189,-0.105,0.905,-10.498,-54.016,12.817
0.185,-0.120,0.900,-12.878,-51.025,10.071
0.178,-0.130,0.895,-15.564,-47.180,7.446
0.173,-0.134,0.885,-18.738,-43.152,5.249
0.167,-0.135,0.872,-20.996,-38.208,3.601
0.160,-0.137,0.865,-22.766,-32.654,2.441
0.153,-0.141,0.860,-23.865,-26.917,1.587
0.148,-0.140,0.850,-24.658,-20.996,1.099
0.144,-0.141,0.837,-25.208,-15.381,0.610
0.142,-0.146,0.826,-25.757,-9.827,1.343
0.140,-0.148,0.820,-26.550,-4.395,3.723
0.136,-0.146,0.827,-25.879,1.099,7.568
0.136,-0.152,0.844,-23.743,6.348,11.353
