aX,aY,aZ,gX,gY,gZ
-0.351,0.431,0.597,-24.048,-29.114,4.333
-0.357,0.446,0.654,-26.428,-29.663,7.019
"",,,,,
1.805,-0.464,0.732,39.246,333.923,45.776
1.926,-0.617,0.824,45.715,331.909,45.715
1.925,-0.681,0.894,47.180,323.730,39.490
1.875,-0.705,0.910,52.429,310.547,30.090
1.868,-0.656,0.865,58.472,294.373,19.592
1.877,-0.583,0.780,67.749,277.771,10.437
1.906,-0.538,0.685,80.139,262.817,5.066
1.952,-0.500,0.584,90.637,249.451,2.991
2.006,-0.504,0.511,100.586,239.685,2.502
2.044,-0.572,0.468,110.901,231.689,3.174
2.070,-0.655,0.450,118.286,225.464,3.052
2.073,-0.698,0.455,122.375,220.337,1.709
2.084,-0.722,0.472,126.404,214.905,-0.244
2.098,-0.733,0.490,133.118,208.618,-3.174
2.083,-0.747,0.505,141.602,201.538,-6.592
1.990,-0.782,0.536,145.203,194.946,-9.521
1.879,-0.814,0.553,137.878,187.073,-11.353
1.749,-0.789,0.548,118.103,175.842,-11.230
1.604,-0.728,0.522,91.553,160.767,-9.216
1.514,-0.674,0.486,65.674,143.433,-5.676
1.470,-0.604,0.427,45.593,123.108,-1.526
1.402,-0.517,0.344,27.893,101.685,3.845
1.374,-0.430,0.249,9.705,81.116,9.766
1.397,-0.349,0.157,-0.366,62.195,15.808
1.403,-0.271,0.073,3.601,45.410,21.057
1.389,-0.229,0.008,16.724,33.081,25.391
1.380,-0.242,-0.034,28.931,26.489,30.334
1.359,-0.328,-0.041,35.828,24.902,36.499
1.314,-0.446,-0.015,34.790,25.879,42.419
1.255,-0.554,0.027,27.832,27.222,45.654
1.214,-0.656,0.058,18.982,26.489,46.082
1.184,-0.729,0.075,9.033,23.254,43.152
1.147,-0.751,0.071,-0.244,17.517,37.964
1.127,-0.735,0.052,-6.592,10.254,31.311
1.117,-0.706,0.017,-7.935,2.136,23.865
1.112,-0.677,-0.022,-4.272,-5.005,16.357
1.109,-0.651,-0.061,1.343,-10.376,9.155
1.108,-0.628,-0.099,5.676,-13.977,2.625
1.116,-0.600,-0.133,6.104,-14.282,-3.052
1.116,-0.560,-0.157,2.380,-12.817,-7.507
1.109,-0.508,-0.169,-3.052,-9.521,-11.536
1.100,-0.455,-0.170,-8.789,-5.798,-14.282
1.091,-0.401,-0.166,-14.709,-2.869,-15.320
1.082,-0.349,-0.163,-19.165,-0.610,-15.198
1.073,-0.303,-0.146,-20.996,1.221,-14.343
1.060,-0.275,-0.123,-21.240,1.831,-12.329
